COM_AV,COM_AP,NCC_AV,NCC_AP
02695,02054,SAINT THIBAUT,BAZOCHES ET SAINT THIBAUT
50153,50400,CRETTEVILLE,PICAUVILLE
88337,88465,ONCOURT,THAON LES VOSGES
88204,88465,GIRMONT,THAON LES VOSGES
85307,85001,FAUTE SUR MER,AIGUILLON LA PRESQU ILE
78503,78320,PORT VILLEZ,NOTRE DAME DE LA MER
56049,56213,CROIXANVEC,SAINT GERAND CROIXANVEC
50642,50400,VINDEFONTAINE,PICAUVILLE
50333,50400,MOITIERS EN BAUPTOIS,PICAUVILLE
50250,50400,HOUTTEVILLE,PICAUVILLE
50212,50400,GOURBESVILLE,PICAUVILLE
50201,50629,GERVILLE LA FORET,VESLY
14144,14689,CAUMONT SUR ORNE,THURY HARCOURT LE HOM
50005,50400,AMFREVILLE,PICAUVILLE
26219,26216,MUREILS,SAINT JEAN DE GALAURE
25628,25375,VILLERS SOUS MONTROND,MONTS RONDS
25134,25185,CHATILLON SUR LISON,CUSSEY SUR LISON
24314,24325,ORLIAGUET,PECHS DE L ESPERANCE
24089,24325,CAZOULES,PECHS DE L ESPERANCE
19092,19143,JARDIN,MONTAIGNAC SUR DOUSTRE
16010,16186,AMBLEVILLE,LIGNIERES AMBLEVILLE
14628,14689,SAINT MARTIN DE SALLEN,THURY HARCOURT LE HOM
14324,14689,HAMARS,THURY HARCOURT LE HOM
14213,14689,CURCY SUR ORNE,THURY HARCOURT LE HOM
50248,50409,HOMMET D ARTHENAY,PONT HEBERT
25587,25078,VAUCHAMPS,BOUCLANS
14075,14410,BISSIERES,MERY BISSIERES EN AUGE
23121,23109,MALVAL,LINARD MALVAL
27551,27541,SAINT JEAN DE LA LEQUERAYE,MESNIL SAINT JEAN
39395,39043,ORBAGNA,BEAUFORT ORBAGNA
81153,81062,MARGNES,FONTRIEU
81091,81062,FERRIERES,FONTRIEU
73198,73227,PERRIERE,COURCHEVEL
53274,53249,VIMARCE,VIMARTIN SUR ORTHE
53239,53249,SAINT MARTIN DE CONNEE,VIMARTIN SUR ORTHE
50526,50066,SAINT MICHEL DES LOUPS,JULLOUVILLE
56016,56173,BIEUZY,PLUMELIAU BIEUZY
27676,27058,VENABLES,TROIS LACS
