,NUM_EXP,ADR1,ADR2,COMMUNE,CP,CC,LATITUDE,LONGITUDE,GEO_SCORE,DEP,polyID,degrees
0,44158068.0, LA HAUTE TERROUSAIS,BP44,ST ETIENNE DE MONTLUC,44360,44158,47.284621,-1.769148,0.58,44,0,18
1,44015177.0,3 LA CLOUETTERIE,,BLAIN,44130,44015,47.435291,-1.772772,0.72,44,1,14
2,44068242.0,LE CHATEAU ROUGE,,GUENROUET,44530,44068,47.519758,-2.009306,0.77,44,2,9
3,44098522.0,TREGRAIN,,MISSILLAC,44780,44098,47.497551,-2.147659,0.76,44,3,7
4,44093170.0,LES SIX CHEMINS,MAUMUSSON,VALLONS DE L ERDRE,44540,44180,47.482927,-1.108261,0.57,44,4,11
5,44066057.0,LE CHAMP LEGER,,GRANDCHAMPS DES FONTAINES,44119,44066,47.356225,-1.588916,0.62,44,5,13
6,44192038.0,3 LA CHAMPIONNERIE,,ST VIAUD,44320,44192,47.275655,-1.999197,0.64,44,6,8
7,44122018.0, CHEMIN DU MOULIN A VENT,LE BOISABEAU,PETIT MARS,44390,44122,47.405921,-1.456148,0.65,44,7,9
8,44195012.0, LES HETIERES,,SAVENAY,44260,44195,47.366164,-1.950173,0.44,44,8,13
9,44087123.0,QUINQUENEVENT,,MACHECOUL ST MEME,44270,44087,46.960136,-1.883143,0.72,44,9,2
10,44091051.0,LA HERBRETAIS,,MARSAC SUR DON,44170,44091,47.598787,-1.661099,0.82,44,10,13
11,44057032.0,4 LE THENOT,,FEGREAC,44460,44057,47.561884,-2.002966,0.68,44,11,12
12,44124234.0,CHAMP FLEURI,,LE PIN,44540,44124,47.59073,-1.156931,0.37,44,12,8
13,44056561.0, LA MARTINAIS,,FAY DE BRETAGNE,44130,44056,47.391923,-1.787493,0.82,44,13,14
14,44052058.0,LA BOUE,,DONGES,44480,44052,47.347892,-2.070871,0.51,44,14,9
15,44090012.0,LA DRILLAIS,,LA MARNE,44270,44090,46.994204,-1.71835,0.66,44,15,9
16,44157011.0,4 LE MARCHE NOIR,,ST ETIENNE DE MER MORTE,44270,44157,46.946941,-1.695246,0.72,44,16,8
17,44098304.0,LE GERIAIS,,MISSILLAC,44780,44098,47.510191,-2.148877,0.77,44,17,7
18,44170109.0,LA BAUDUSSAIS,,ST JULIEN DE VOUVANTES,44670,44170,47.634306,-1.268853,0.58,44,18,21
19,44020021.0,LA MUSSE,,BOUGUENAIS,44340,44020,47.165707,-1.608725,0.64,44,19,5
20,44222148.0,LES MARES,,LA ROCHE BLANCHE,44522,44222,47.455034,-1.144553,0.87,44,20,18
21,44007427.0,LA CANNETAIS,,AVESSAC,44460,44007,47.629746,-1.930119,0.51,44,21,14
22,44085151.0, LA RIOLAIS,,LOUISFERT,44110,44085,47.664349,-1.418741,0.86,44,22,9
23,44047241.0,5 RUE DES TERRIERS,,COUERON,44220,44047,47.25412,-1.727918,0.82,44,23,17
24,44114042.0,GUIDOIRE,,ORVAULT,44700,44114,47.29296,-1.644406,0.49,44,24,12
25,44021473.0,2 LES ONCHERES ST CYR EN RETZ,,VILLENEUVE EN RETZ,44580,44021,47.02913,-1.923469,0.59,44,25,3
26,44105023.0,8 LES ECHASSERAIES,,MOUAIS,44590,44105,47.698872,-1.66115,0.7,44,26,21
27,44005009.0, LA NOE LA SICAUDAIS,,CHAUMES EN RETZ,44320,44005,47.135492,-1.942381,0.62,44,27,23
28,44099345.0, LA GALMELIERE,,MOISDON LA RIVIERE,44520,44099,47.618441,-1.320884,0.67,44,28,18
29,44046011.0,LA PETOLAIS,,CORSEPT,44560,44046,47.270059,-2.110525,0.76,44,29,4
30,44036070.0,CHEVALLERIE,,CHATEAUBRIANT,44110,44036,47.717339,-1.380721,0.5,44,30,23
31,44052006.0,PETIT BOIS DE LA BUZARDIERE,,DONGES,44480,44052,47.343287,-2.106155,0.67,44,31,10
32,44224047.0,LE CEP,,LA GRIGONNAIS,44170,44224,47.511937,-1.711631,0.86,44,32,13
33,44067267.0, LE PONT ESNAULT,,GUEMENE PENFAO,44290,44067,47.637513,-1.850146,0.84,44,33,19
34,44182036.0, LE CHAMP CHEVALIER,,ST MICHEL CHEF CHEF,44730,44182,47.18098,-2.11997,0.65,44,34,9
35,44195030.0,LA GOUAIRIE,,SAVENAY,44260,44195,47.353056,-1.913194,0.78,44,35,5
36,44208060.0,LA GOMMERAIS,,TREFFIEUX,44170,44208,47.613559,-1.54826,0.79,44,36,13
37,44181167.0,LA METAIRIE-NEUVE,ST MEME LE TENU,MACHECOUL SAINT MEME,44270,44087,47.010003,-1.794252,0.68,44,37,12
38,44080006.0,LA FEUVRAIS,,LAVAU SUR LOIRE,44260,44080,47.311914,-1.965569,0.59,44,38,7
39,44041002.0,11 RUE DE LA THOMASERIE,,LA CHEVROLIERE,44118,44041,47.102029,-1.617941,0.91,44,39,2
40,44024079.0,BELLEVUE,,BRAINS,44830,44024,47.167143,-1.720046,0.38,44,40,12
41,44015055.0,LA FOSSERIE ST EMILIEN BLAIN,,BLAIN,44130,44015,47.433926,-1.745104,0.57,44,41,11
42,44129020.0,BEY,,PONTCHATEAU,44160,44129,47.450608,-2.110243,0.73,44,42,11
43,44025015.0,LA MAZERINE,,CAMPBON,44750,44025,47.429693,-1.947621,0.77,44,43,24
44,44067002.0,LA COURTINAIS,,GUEMENE PENFAO,44290,44067,47.640148,-1.833652,0.82,44,44,20
45,44020411.0,53 LES BRANDES,,BOUGUENAIS,44340,44020,47.163605,-1.579752,0.63,44,45,7
46,44001055.0,LES VANNERIES,,ABBARETZ,44170,44001,47.55315,-1.474642,0.59,44,46,12
47,44128213.0,LE COUDRAY-LA PETITE DAVRAY,ND,PLESSE,44630,44128,47.557179,-1.842251,0.57,44,47,27
48,44073118.0,LES BLORDIERS,,HERIC,44810,44073,47.449315,-1.632928,0.46,44,48,13
49,44158082.0,LA VALLAIS,,ST ETIENNE DE MONTLUC,44360,44158,47.286532,-1.800152,0.73,44,49,20
50,44036117.0, LA HAUTE BAGUAIS,,CHATEAUBRIANT,44110,44036,47.717163,-1.377931,0.47,44,50,22
51,44110056.0,COUETZIC,,NORT SUR ERDRE,44390,44110,47.475965,-1.531385,0.8,44,51,13
52,44056682.0,10 LA CHAINTRE,,FAY DE BRETAGNE,44130,44056,47.368677,-1.806223,0.8,44,52,16
53,44054073.0, LA RABOISNELIERE,,ERBRAY,44110,44054,47.69173,-1.369292,0.42,44,53,26
54,44163022.0,LE BOURG LOUET,,VAIR SUR LOIRE,44150,44163,47.422773,-1.08091,0.83,44,54,3
55,44030008.0,"33, RUE DE LA SOURCE",,LA CHAPELLE DES MARAIS,44410,44030,47.441226,-2.267265,0.87,44,55,8
56,44033240.0,LES PERRIERES,,LA CHAPELLE LAUNAY,44260,44033,47.332665,-1.986399,0.89,44,56,10
57,44144034.0,L'ENCLOSE,,RIAILLE,44440,44144,47.517841,-1.293384,0.39,44,57,9
58,44077050.0,LES AUBERDIERES,,JOUE SUR ERDRE,44440,44077,47.489811,-1.407301,0.83,44,58,15
59,44069127.0,KERCABUS,,GUERANDE,44350,44069,47.366224,-2.383973,0.6,44,59,8
60,44022033.0,ECORCHEVRIERE,,BOUSSAY,44190,44022,47.064048,-1.145011,0.79,44,60,12
61,44061133.0,HIRONDELLE,,FROSSAY,44320,44061,47.230744,-1.934417,0.77,44,61,17
62,44146054.0,CELLEREUX,,ROUGE,44660,44146,47.776597,-1.494583,0.31,44,62,16
63,44211024.0,19 RUE DE TREVALY,,LA TURBALLE,44420,44211,47.337058,-2.483211,0.84,44,63,8
64,44192017.0,LA LOGERIE,,ST VIAUD,44320,44192,47.277254,-2.016013,0.38,44,64,7
65,44121034.0,LE BEUCHET,,PETIT AUVERNE,44670,44121,47.609413,-1.290599,0.5,44,65,15
66,44003022.0, LA MAURIERE,ANCENIS,ANCENIS ST GEREON,44150,44003,47.398565,-1.176902,0.66,44,66,7
67,44110617.0,3 LA BELLERIE,,NORT SUR ERDRE,44390,44110,47.424355,-1.539961,0.83,44,67,17
68,44015111.0,LA REAUTAIS ST OMER DE BLAIN,,BLAIN,44130,44015,47.47404,-1.854234,0.49,44,68,14
69,44123200.0, LE HOUSSAIS,,PIERRIC,44290,44123,47.679735,-1.743012,0.76,44,69,15
70,44119041.0,1 Bis LA BRISSONNIERE,,PAULX,44270,44119,46.969159,-1.773334,0.62,44,70,22
71,44184080.0,"59,RTE / CARROIS CUNEIX",,ST NAZAIRE,44600,44184,47.304717,-2.261184,0.56,44,71,11
72,44121054.0, LES FEUVRIES,,PETIT AUVERNE,44670,44121,47.609413,-1.290599,0.46,44,72,15
73,44025074.0,LA BOSSE,,CAMPBON,44750,44025,47.430155,-1.982822,0.74,44,73,19
74,44051554.0,5 LA NOE JEAN,,DERVAL,44590,44051,47.687473,-1.643236,0.69,44,74,20
75,44028040.0,13 ROUTE DE PARIS,LA MALADRIE,LE CELLIER,44850,44028,47.355684,-1.327851,0.67,44,75,6
76,44123012.0, CASTRES,,PIERRIC,44290,44123,47.704069,-1.754788,0.71,44,76,9
77,44152304.0,LE SERY,,STE ANNE SUR BRIVET,44160,44152,47.430227,-2.068939,0.69,44,77,7
78,44005445.0,21 ROUTE DE LA MECHINIERE,LA BOIZONNIERE,CHAUMES EN RETZ,44320,44005,47.118741,-1.956108,0.68,44,78,13
79,44184017.0,3 ROUTE DES 4 VENTS,,ST NAZAIRE,44600,44184,47.279168,-2.296099,0.62,44,79,7
80,44146012.0,LA CHEVRIE,,ROUGE,44660,44146,47.760039,-1.365973,0.46,44,80,17
81,44065030.0,LE PORSCHE,,GRAND AUVERNE,44520,44065,47.561087,-1.322076,0.51,44,81,8
82,44146091.0,LA POULTAIS,,ROUGE,44660,44146,47.770553,-1.372928,0.38,44,82,15
